Prices,Reviews,urls,Brand,Processor_Type,RAM_Size,Storage_Capacity,Storage_Type,Screen_Size_Inches,Operating_System,Processor_Generation
29990,4.2,https://www.flipkart.com/hp-15-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0154au-thin-light-laptop/p/itm341b4714ead99?pid=COMH56DFUBTUMXRH&lid=LSTCOMH56DFUBTUMXRHUIRDZB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj5sJ3tschnOaoJh0PW4HkkXf-HVaTrjXdXfxhi9iOY5QuvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,HP,AMD Ryzen 3,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,Not Available
43999,4.3,https://www.flipkart.com/hp-backlit-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWGCQAVA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj7_df9QV_KwxGtXvG_XXZa-dZaITBReVDaulBnUU3sX02aRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,HP,Intel Core i5,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
51990,4.3,https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-2471in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGYSFG4WHPVAVZ&lid=LSTCOMGYSFG4WHPVAVZ6L3G5Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMGYSFG4WHPVAVZ.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,MSI,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
54990,4.4,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn260w-laptop/p/itm10514ecd2a794?pid=COMHFT2NBDET7GJX&lid=LSTCOMHFT2NBDET7GJXKL60AC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMHFT2NBDET7GJX.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,ASUS,AMD Ryzen 7,8 GB DDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
40450,4.7,https://www.flipkart.com/msi-modern-14-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-c12mo-1212in-business-laptop/p/itm60c14709fdf3b?pid=COMHYWTJE2BSGGJV&lid=LSTCOMHYWTJE2BSGGJV95JWUA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMHYWTJE2BSGGJV.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,MSI,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,12th Gen
76990,4.4,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7x4hn-a/p/itmdc5308fa78421?pid=COMH64PY76CJKBYU&lid=LSTCOMH64PY76CJKBYUOL7TOK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMH64PY76CJKBYU.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Apple,Not Available,Not Available,256 GB,SSD,13.6,Not Available,Not Available
30990,4,https://www.flipkart.com/msi-modern-14-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-c12mo-business-laptop/p/itmb82466e1d1ca2?pid=COMHYWTJWVCVHFBH&lid=LSTCOMHYWTJWVCVHFBHBKC3MY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj5RnNgL2eAtRuO2L99UX36h9Sbsn_I4bSZ1MHKgOJPGrq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,MSI,Intel Core i3,8 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,12th Gen
53989,4.3,https://www.flipkart.com/msi-modern-15-h-ai-intel-core-ultra-5-125h-16-gb-512-gb-ssd-windows-11-home-c1mg-049in-thin-light-laptop/p/itm01c95e069735f?pid=COMH7NDFMGZREMPJ&lid=LSTCOMH7NDFMGZREMPJ9AB9DK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj5pkVC-RM3FkU8o8DXoIIshEqxT352gPLApvu7OY4rN-vKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,MSI,Intel Core Ultra,16 GB DDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
53990,4.2,https://www.flipkart.com/infinix-gt-book-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-80-w-gl613-gaming-laptop/p/itmc9e44d5a9f6c4?pid=COMHYS44DKVFUFVS&lid=LSTCOMHYS44DKVFUFVS2KZG86&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMHYS44DKVFUFVS.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Infinix,Intel Core i5,16 GB LPDDR5 RAM,512 GB,SSD,16.0,Windows 11,12th Gen
29990,4,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMH4B6CGTPNVJW9.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Acer,Intel Core i3,8 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,13th Gen
122990,3.4,https://www.flipkart.com/samsung-galaxy-book5-360-ai-pc-full-metal-chasis-intel-core-ultra-7-256v-16-gb-512-gb-ssd-windows-11-home-np750qha-2-1-laptop/p/itm85276ee19425e?pid=COMH9PHPZMP9PEG7&lid=LSTCOMH9PHPZMP9PEG7CHMW7J&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj6AVnimEnUorqE-YyKrc8V4JZo5NihkzlralOwD1u_cJssrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,SAMSUNG,Intel Core Ultra,16 GB LPDDR5X RAM,512 GB,SSD,15.6,Windows 11,Not Available
31990,4,https://www.flipkart.com/avita-liber-e-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-am14a2inf56f-slf-thin-light-laptop/p/itmf74daeb866371?pid=COMGZW5BZZR5HPGY&lid=LSTCOMGZW5BZZR5HPGY2MBXNJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj5kI2CVxH_cipuzcEDjIoZhbFBaUMjSVeNvry4zCL601MDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Avita,Intel Core i5,8 GB DDR4 RAM,512 GB,SSD,14.1,Windows 11,12th Gen
35990,4.5,https://www.flipkart.com/acer-aspire-lite-multicolor-backlit-amd-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGXPH6V5PZNMWU&lid=LSTCOMGXPH6V5PZNMWUALJFDH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMGXPH6V5PZNMWU.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Acer,AMD Ryzen 5,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,Not Available
