Prices,Reviews,urls,Brand,Processor_Type,RAM_Size,Storage_Capacity,Storage_Type,Screen_Size_Inches,Operating_System,Processor_Generation
31990,3.6,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-laptop/p/itm4fba41d753951?pid=COMGVFZJ9QJJDECG&lid=LSTCOMGVFZJ9QJJDECGVNUWLJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_144&otracker=search&otracker1=search&fm=Search&iid=a86c45e0-0158-4294-92f7-8b8328afc2e1.COMGVFZJ9QJJDECG.SEARCH&ppt=sp&ppn=sp&ssid=hrwd3753740000001744324319270&qH=312f91285e048e09,Acer,Intel Core i3,8 GB DDR5 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
54990,4.1,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn260w-laptop/p/itm10514ecd2a794?pid=COMHFT2NBDET7GJX&lid=LSTCOMHFT2NBDET7GJXKL60AC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_145&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMHFT2NBDET7GJX.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,AMD Ryzen 7,8 GB DDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
36990,4.1,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itmd57b41ed8750a?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHIZPQIL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_146&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGBH9JDPVGD8BH.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,HP,AMD Ryzen 5,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,Not Available
50990,4.3,https://www.flipkart.com/dell-inspiron-5430-intel-core-i5-13th-gen-8-gb-512-gb-ssd-windows-11-home-in5430yxvw9m01ors1-laptop/p/itm6efbb8570caef?pid=COMGQRCGGJD2TYXH&lid=LSTCOMGQRCGGJD2TYXH7SHYB7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_147&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGQRCGGJD2TYXH.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,DELL,Intel Core i5,8 GB LPDDR5 RAM,512 GB,SSD,14.0,Windows 11,13th Gen
74990,4.2,https://www.flipkart.com/dell-intel-core-i5-13th-gen-16-gb-512-gb-ssd-windows-11-home-ic7430vvr8c001ors1-laptop/p/itm6efbb8570caef?pid=COMGQTJSYKURYJ3H&lid=LSTCOMGQTJSYKURYJ3HXZGIAB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_148&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGQTJSYKURYJ3H.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,DELL,Intel Core i5,16 GB LPDDR5 RAM,512 GB,SSD,14.0,Windows 11,13th Gen
46990,4.3,https://www.flipkart.com/hp-laptop-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fq5329tu-thin-light/p/itm7d7024d1947e9?pid=COMGYZVFY8MFJ8QA&lid=LSTCOMGYZVFY8MFJ8QAM0UN74&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_149&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGYZVFY8MFJ8QA.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,HP,Intel Core i5,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
52990,3.7,https://www.flipkart.com/acer-aspire-lite-intel-core-i5-12th-gen-12450h-16-gb-1-tb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH883AGRXJD8SB&lid=LSTCOMH883AGRXJD8SB0RGXFB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_150&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMH883AGRXJD8SB.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Acer,Intel Core i5,16 GB LPDDR5 RAM,1 TB,SSD,15.6,Windows 11,12th Gen
47990,4.4,https://www.flipkart.com/infinix-y4-max-series-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itmf0f9170b3ca9f?pid=COMGWWBRQKGZDSUX&lid=LSTCOMGWWBRQKGZDSUXTQREMO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_151&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGWWBRQKGZDSUX.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Infinix,Intel Core i7,16 GB LPDDR4X RAM,512 GB,SSD,16.0,Windows 11,13th Gen
42190,4.2,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj521ws-x1504za-nj520ws-x1504za-nj528ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYWSWMFQQBCG3&lid=LSTCOMHYWSWMFQQBCG3ZA9JEY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_152&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMHYWSWMFQQBCG3.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,Intel Core i5,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
29990,3.9,https://www.flipkart.com/asus-vivobook-go-14-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1404fa-nk321ws-thin-light-laptop/p/itm37ab22cfcf18d?pid=COMH2TPS4KQNJXWH&lid=LSTCOMH2TPS4KQNJXWHAQRRG7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_153&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMH2TPS4KQNJXWH.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,AMD Ryzen 3,8 GB LPDDR5 RAM,512 GB,SSD,14.0,Windows 11,Not Available
42990,4.2,https://www.flipkart.com/acer-aspire-lite-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-al15-52-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGX8GMZJRP6QRK&lid=LSTCOMGX8GMZJRP6QRKPCMSJC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_154&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGX8GMZJRP6QRK.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Acer,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
34490,5,https://www.flipkart.com/dell-latitude-3540-2025-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm7f265faf0871e?pid=COMH96VZAERCSPPP&lid=LSTCOMH96VZAERCSPPPTA5CWR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_155&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMH96VZAERCSPPP.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,DELL,Intel Core i3,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
29990,4.4,https://www.flipkart.com/infinix-y4-max-series-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itmd28733993c713?pid=COMGWWBRTRFGHM7G&lid=LSTCOMGWWBRTRFGHM7GVTSUHF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_156&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGWWBRTRFGHM7G.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Infinix,Intel Core i3,8 GB LPDDR4X RAM,512 GB,SSD,16.0,Windows 11,13th Gen
24890,4,https://www.flipkart.com/lenovo-ideapad-1-intel-celeron-dual-core-n4020-8-gb-512-gb-ssd-windows-11-home-14igl7-15igl7-thin-light-laptop/p/itm7ecd736658657?pid=COMGYHP5ZGXPZHSZ&lid=LSTCOMGYHP5ZGXPZHSZO3CDLR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_157&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGYHP5ZGXPZHSZ.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Lenovo,Intel Celeron Dual,8 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,Not Available
50990,4.4,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj540ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4CHFK2PUPVBS&lid=LSTCOMH4CHFK2PUPVBSA7VBXJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_158&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMH4CHFK2PUPVBS.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,13th Gen
37990,4.4,https://www.flipkart.com/lenovo-ideapad-3-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15itl6-laptop/p/itme603a3b75554d?pid=COMGHQTJNMV9GVK2&lid=LSTCOMGHQTJNMV9GVK2DRRG4Z&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_159&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGHQTJNMV9GVK2.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Lenovo,Intel Core i3,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,11th Gen
59990,4.2,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa506nc-hn083w-laptop/p/itm10514ecd2a794?pid=COMHFK2T3KCHKAFU&lid=LSTCOMHFK2T3KCHKAFUOEIOAP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_160&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMHFK2T3KCHKAFU.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,AMD Ryzen 5,16 GB DDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
39990,3.9,https://www.flipkart.com/msi-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-modern-14-c12mo-1203in-thin-light-laptop/p/itmb82466e1d1ca2?pid=COMH6C4KXV5SE2CX&lid=LSTCOMH6C4KXV5SE2CXTPEECC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_161&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMH6C4KXV5SE2CX.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,MSI,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,12th Gen
43990,4.1,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk521ws-thin-light-laptop/p/itm3de88f71e558b?pid=COMGMGXFT7WWNGYG&lid=LSTCOMGMGXFT7WWNGYGEMFTUI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_162&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGMGXFT7WWNGYG.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,AMD Ryzen 5,8 GB LPDDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
36990,3.7,https://www.flipkart.com/asus-vivobook-go-14-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1404fa-nk521ws-thin-light-laptop/p/itm37ab22cfcf18d?pid=COMGYSGNZEQHFG6R&lid=LSTCOMGYSGNZEQHFG6ROHWRBS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_163&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGYSGNZEQHFG6R.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,AMD Ryzen 5,8 GB LPDDR5 RAM,512 GB,SSD,14.0,Windows 11,Not Available
45990,4.2,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj521ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMGZDQJ8RVSQZE8&lid=LSTCOMGZDQJ8RVSQZE8G3WDIQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_164&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGZDQJ8RVSQZE8.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,Intel Core i5,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,13th Gen
57999,4.2,https://www.flipkart.com/lenovo-ideapad-slim-3-backlit-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-83em0023in-laptop/p/itmf7d627b58c63f?pid=COMGYJGUUUHJYHZE&lid=LSTCOMGYJGUUUHJYHZEIHZGTN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_165&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGYJGUUUHJYHZE.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Lenovo,Intel Core i5,16 GB LPDDR5 RAM,512 GB,SSD,15.6,Windows 11,13th Gen
25490,4.2,https://www.flipkart.com/lenovo-ideapad-slim-1-intel-celeron-dual-core-n4020-8-gb-256-gb-ssd-windows-11-home-14igl7-thin-light-laptop/p/itm7ecd736658657?pid=COMGDMXVJJB2HGMY&lid=LSTCOMGDMXVJJB2HGMYPG5AOZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_166&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGDMXVJJB2HGMY.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Lenovo,Intel Celeron Dual,8 GB DDR4 RAM,256 GB,SSD,14.0,Windows 11,Not Available
38890,4,https://www.flipkart.com/acer-aspire-lite-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-al15-52-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGXPH6NHHZFKTZ&lid=LSTCOMGXPH6NHHZFKTZWZM1YQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_167&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGXPH6NHHZFKTZ.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,Acer,Intel Core i5,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
36500,4.1,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj133ws-e1504fa-nj522ws-thin-light-laptop/p/itm968db504ada5b?pid=COMGMGXFHUHQE3XZ&lid=LSTCOMGMGXFHUHQE3XZVMF0VE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_168&otracker=search&otracker1=search&fm=Search&iid=988a9da5-80dd-427a-b531-d6952ea3c0db.COMGMGXFHUHQE3XZ.SEARCH&ppt=sp&ppn=sp&ssid=vtbw2i2m400000001744324321119&qH=312f91285e048e09,ASUS,AMD Ryzen 5,8 GB LPDDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
29990,4,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj322ws-thin-light-laptop/p/itm968db504ada5b?pid=COMGMGXFQZGYKEZG&lid=LSTCOMGMGXFQZGYKEZGUU1BUT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_169&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMGMGXFQZGYKEZG.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,ASUS,AMD Ryzen 3,8 GB LPDDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
69990,4.4,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj520ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMH2D4GHZZGSHDP&lid=LSTCOMH2D4GHZZGSHDPPOYP5X&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_170&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMH2D4GHZZGSHDP.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,ASUS,Intel Core i5,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
44490,4.5,https://www.flipkart.com/lenovo-v15-g3-iap-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-82tta07rih-thin-light-laptop/p/itm575eadcc5ae49?pid=COMH6XHKJSQN4CT3&lid=LSTCOMH6XHKJSQN4CT3KSIQEC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_171&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMH6XHKJSQN4CT3.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,Lenovo,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
26990,4.4,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH2TPSM9V7V38F&lid=LSTCOMH2TPSM9V7V38F5SNKCO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_172&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMH2TPSM9V7V38F.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,Acer,AMD Ryzen 3,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,Not Available
25950,4.1,https://www.flipkart.com/hp-255-g9-amd-ryzen-3-dual-core-3250-8-gb-512-gb-ssd-windows-11-home-g8-thin-light-laptop/p/itm087b6d1981ee8?pid=COMGFBK9A3Z2QD9H&lid=LSTCOMGFBK9A3Z2QD9HGGY2DL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_173&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMGFBK9A3Z2QD9H.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,HP,AMD Ryzen 3,8 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,Not Available
30990,4.2,https://www.flipkart.com/msi-modern-14-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-c12mo-business-laptop/p/itmb82466e1d1ca2?pid=COMHYWTJWVCVHFBH&lid=LSTCOMHYWTJWVCVHFBHBKC3MY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_174&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMHYWTJWVCVHFBH.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,MSI,Intel Core i3,8 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,12th Gen
52990,4.2,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_175&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMGZUYDGFJGHZR4.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,SAMSUNG,Intel Core i5,16 GB LPDDR4X RAM,512 GB,SSD,15.6,Windows 11,13th Gen
44990,4.5,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CNJXPHGAG&lid=LSTCOMH4B6CNJXPHGAGWW6NVE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_176&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMH4B6CNJXPHGAG.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,Acer,Intel Core i5,8 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,13th Gen
34490,4,https://www.flipkart.com/acer-aspire-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-al15-53-notebook/p/itm1bc0bcb4598e7?pid=COMH5WHPWD7GUWGT&lid=LSTCOMH5WHPWD7GUWGTDLXKRU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_177&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMH5WHPWD7GUWGT.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,Acer,Intel Core i3,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,13th Gen
31490,4.2,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5300u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH2TPSHCGSZY44&lid=LSTCOMH2TPSHCGSZY44IBA3CY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_178&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMH2TPSHCGSZY44.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,Acer,AMD Ryzen 3,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,Not Available
27800,4.2,https://www.flipkart.com/hp-15-g9-2025-amd-ryzen-3-dual-core-3250u-16-gb-512-gb-ssd-windows-11-pro-thin-light-laptop/p/itma7df4d7d70080?pid=COMH9DVYSUGVCXZV&lid=LSTCOMH9DVYSUGVCXZVQPJGOE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_179&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMH9DVYSUGVCXZV.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,HP,AMD Ryzen 3,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,Not Available
60990,4.3,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_180&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMGZUYDFZXHWYWZ.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,SAMSUNG,Intel Core i5,8 GB LPDDR4X RAM,512 GB,SSD,15.6,Windows 11,13th Gen
37990,4.4,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5625u-16-gb-1-tb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGU2D9ZAXCAHBU&lid=LSTCOMGU2D9ZAXCAHBU9NMK1M&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_181&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMGU2D9ZAXCAHBU.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,Acer,AMD Ryzen 5,16 GB DDR4 RAM,1 TB,SSD,15.6,Windows 11,Not Available
34990,4.3,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CRXD62EPK&lid=LSTCOMH4B6CRXD62EPKDKUYRL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_182&otracker=search&otracker1=search&fm=Search&iid=1b855b6d-3276-4605-9876-5bf09e29d314.COMH4B6CRXD62EPK.SEARCH&ppt=sp&ppn=sp&ssid=70w6ecvnq80000001744324323015&qH=312f91285e048e09,Acer,Intel Core i3,16 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,13th Gen
